src,trg
Excitation of large-scale inertial waves in a rotating inhomogeneous turbulence,Generation of large-scale vorticity in a homogeneous turbulence with a mean velocity shear
Incomplete relaxation in a two-mass one-dimensional self-gravitating system,Relaxation processes in one-dimensional self-gravitating many-body systems
Counterflow quantum turbulence of He-II in a square channel: Numerical analysis with nonuniform flows of the normal fluid,Visualization of the normal-fluid turbulence in counterflowing superfluid He4
Nonlinear polarization waves in a two-component Bose-Einstein condensate,Polariton-polariton interaction constants in microcavities
Cloaking with optimized homogeneous anisotropic layers,Scattering Theory Derivation of a 3D Acoustic Cloaking Shell
Inhomogeneity and nonlinear screening in gapped bilayer graphene,Electron-hole puddles in the absence of charged impurities
Theory of quantum-circuit refrigeration by photon-assisted electron tunneling,Cavity Photons as a Probe for Charge Relaxation Resistance and Photon Emission in a Quantum Dot Coupled to Normal and Superconducting Continua
Theoretical investigation of the surface vibrational modes in germanium nanocrystals,Phonon modes in InAs quantum dots
Slave-boson Keldysh field theory for the Kondo effect in quantum dots,Review of techniques in the large-N expansion for dilute magnetic alloys
Coherent quantum effects through dispersive bosonic media,Dispersive atom-field interaction scheme for three-dimensional entanglement between two spatially separated atoms
Propagation of photons by hopping: A waveguiding mechanism through localized coupled cavities in three-dimensional photonic crystals,Impurity bands in photonic insulators
Transitions from conventional metals and insulators to Kondo metals and insulators,Relation between the Anderson and Kondo Hamiltonians
Photoelectron Spectra from Multiple Ionization of Atoms in Ultra-Intense Laser Pulses,Photoelectron initial conditions for tunneling ionization in a linearly polarized laser
Quantum mechanical treatment of large spin baths,Quantum decoherence of the central spin in a sparse system of dipolar coupled spins
Can very compact and very massive neutron stars both exist?,Hyperon stars in the Brueckner-Bethe-Goldstone theory
Dissipation-enabled efficient excitation transfer from a single photon to a single quantum emitter,Time-Reversal-Symmetric Single-Photon Wave Packets for Free-Space Quantum Communication
Pion transition form factor in the Regge approach and incomplete vector-meson dominance,Quantum-chromodynamic corrections to meson-photon transition form factors
Dimensional crossover in a spin-imbalanced Fermi gas,Texture in the Superconducting Order Parameter of CeCoIn5 Revealed by Nuclear Magnetic Resonance
Constraints on Ultrahigh-Energy Cosmic-Ray Sources from a Search for Neutrinos above 10 PeV with IceCube,High Energy Neutrinos from Cosmological Gamma-Ray Burst Fireballs
Interatomic Repulsive Potentials at Very Small and Intermediate Separations,Analysis of Low-Energy Sputtering
Demonstration of analyzers for multimode photonic time-bin qubits,Separability Criterion for Density Matrices
Atomic Structure Affects the Directional Dependence of Friction,Structure of the H-saturated Si(100) surface
Half-Metallic p-Type LaAlO3/EuTiO3 Heterointerface from Density-Functional Theory,Projector augmented-wave method
Energy of Electrons or Photons from Their Cascade Showers in Copper,Monte Carlo Study of Shower Production
Spin and molecular electronics in atomically generated orbital landscapes,Numerical atomic orbitals for linear-scaling calculations
Exchange-correlation contributions to thermodynamic properties of the homogeneous electron gas from a cumulant Green's function approach,Finite-temperature quasiparticle self-consistent GW approximation
Interaction of quasiparticles in the 1/3 quantum Hall state and hierarchical estimates of the energy of daughter states,Configuration-interaction calculations on the fractional quantum Hall effect
Radio frequency resonance measurements of the Ba 6sng−6snh−6sni−6snk intervals: An investigation of the nonadiabatic effects in core polarization,Stark Effect in Rapidly Varying Fields
Using t→bb¯c to search for new physics,"Eilam, Hewett, and Soni reply"
"Collisional properties of cold spin-polarized nitrogen gas: Theory, experiment, and prospects as a sympathetic coolant for trapped atoms and molecules",N14-N15 Hyperfine Anomaly
Absence of runaways and divergent self-mass in nonrelativistic quantum electrodynamics,Advanced Potentials and their Application to Atomic Models
Imaging defect formation in the template growth of NiSi2/Si(111): An application of quantum size microscopy,"New Transport Phenomenon in a Semiconductor ""Superlattice"""
Floquet topological phases in a spin-1/2 double kicked rotor,Theory of 2δ-kicked quantum rotors
Pseudogap and singlet formation in organic and cuprate superconductors,Mott Transition and Transport Crossovers in the Organic Compound κ−(BEDT−TTF)2Cu[N(CN)2]Cl
Organ-pipe modes of sodium epitaxial multilayers on Cu(001) observed by inelastic helium-atom scattering,"Determination of the Surface Phonon Dispersion Relations for Monolayer, Bilayer, Trilayer, and Thick Kr(111) Films Physisorbed on Ag(111) by Inelastic He Scattering"
Extracting the dynamical effective interaction and competing order from an analysis of Raman spectra of the high-temperature La2−xSrxCuO4 superconductor,Charge-density waves and superconductivity as an alternative to phase separation in the infinite-U Hubbard-Holstein model
Non-Fermi-liquid states and pairing instability of a general model of copper oxide metals,Anisotropic tunneling and resistivity in high-temperature superconductors
Isoscalar dipole strength in 82208Pb126: The spurious mode and the strength in the continuum,"Isoscalar giant dipole resonance in 90Zr, 116Sn, and 208Pb"
Order-α radiative corrections for semileptonic decays of polarized baryons,Weak electric and magnetic form factors for semileptonic baryon decays in an independent-quark model
Separation of magnetic properties at uranium and cobalt sites in UCoAl using soft x-ray magnetic circular dichroism,Transport properties of the anisotropic itinerant-electron metamagnet UCoAl
Generation of d-wave coupling in the two-dimensional Hubbard model from functional renormalization,Optimized renormalization group flows
Elastic resonant and nonresonant differential scattering of quasifree electrons from B4+(1s) and B3+(1s2) ions,Experimental separation of electron-electron and electron-nuclear contributions to ionization of fast hydrogenlike ions colliding with He
Effective Dynamics of Disordered Quantum Systems,Classical irregular scattering and its quantum-mechanical implications
Sum Rules for Coupling Constants in Broken SU(6) Symmetry,On the Consequences of the Symmetry of the Nuclear Hamiltonian on the Spectroscopy of Nuclei
"Ne22(d,p)23Ne reaction and neutron balance in the s process",Fractionated single-particle states of S33 at Ex=8.6−9.5 MeV
Collective excitations of the hybrid atomic-molecular Bose-Einstein condensates,Collective Excitations of a Trapped Bose-Condensed Gas
Hadamard renormalization of the stress energy tensor on the horizons of a spherically symmetric black hole space-time,Vacuum expectation value of the stress tensor in an arbitrary curved background: The covariant point-separation method
"Proton Angular Distributions from Zn64,66,67,68(d, p) Reactions","Neutron Binding Energies from (d,p) Reactions and Nuclear Shell Structure"
Renormalization of spin excitations in hexagonal HoMnO3 by magnon-phonon coupling,Anomalous Excitation Spectra of Frustrated Quantum Antiferromagnets
Geometrical Dependence of Decoherence by Electronic Interactions in a GaAs/GaAlAs Square Network,Quantum interference effects and spin-orbit interaction in quasi-one-dimensional wires and rings
The Korteweg–de Vries hierarchy as dynamics of closed curves in the plane,"Bending energy of vesicle membranes: General expressions for the first, second, and third variation of the shape energy and applications to spheres and cylinders"
Large anisotropy and stage dependence of the magnetic susceptibility of alkali-graphite intercalation compounds,Theory of magnetic susceptibility of graphite intercalation compounds
Compound atom-ion Josephson junction: Effects of finite temperature and ion motion,Ground-state properties of ultracold trapped bosons with an immersed ionic impurity
Hybrid topological-spin qubit systems for two-qubit-spin gates,Local fault-tolerant quantum computation
Nonlinear matter wave dynamics with a chaotic potential,Collective Excitations of a Trapped Bose-Condensed Gas
Renormalization group analysis of a Gürsey-model-inspired field theory. II,Analysis of the Wilsonian effective potentials in dynamical chiral symmetry breaking
Quantum quenches and many-body localization in the thermodynamic limit,Quenching the Anisotropic Heisenberg Chain: Exact Solution and Generalized Gibbs Ensemble Predictions
"Excitation cross sections of e−+He→e−+He(3P1,4P1) and the polarization of the 5016-Å helium line resulting from e−−He scattering in Glauber theory",Variational Atomic Wave Functions
"Stresses in semiconductors: Ab initio calculations on Si, Ge, and GaAs",Charge Density and Structural Properties of Covalent Semiconductors
Pair breaking versus symmetry breaking: Origin of the Raman modes in superconducting cuprates,Soft Fermi Surfaces and Breakdown of Fermi-Liquid Behavior
Empirical formulas for nucleon separation energies,New Nuclidic Mass Relationship
Thermal excitation-energy deposition in 5–15 GeV/c hadron-induced reactions with 197Au. II. Relation between excitation energy and reaction variables,Intermediate-Mass Fragment Decay of the Neck Zone Formed in Peripheral 209Bi+136Xe Collisions at Elab/A=28MeV
